<bos><|turn>system
Follow the user's output format exactly. Do not include an explanation unless requested.<turn|>
<|turn>user
Read this registry. Only the record named TARGET-ORCHID is relevant.
Record R0000: depot=harbor-0; parcel=100000; status=stored.
Record R0001: depot=harbor-1; parcel=100137; status=stored.
Record R0002: depot=harbor-2; parcel=100274; status=stored.
Record R0003: depot=harbor-3; parcel=100411; status=stored.
Record R0004: depot=harbor-4; parcel=100548; status=stored.
Record R0005: depot=harbor-5; parcel=100685; status=stored.
Record R0006: depot=harbor-6; parcel=100822; status=stored.
Record R0007: depot=harbor-7; parcel=100959; status=stored.
Record R0008: depot=harbor-8; parcel=101096; status=stored.
Record R0009: depot=harbor-9; parcel=101233; status=stored.
Record R0010: depot=harbor-10; parcel=101370; status=stored.
Record R0011: depot=harbor-11; parcel=101507; status=stored.
Record R0012: depot=harbor-12; parcel=101644; status=stored.
Record R0013: depot=harbor-13; parcel=101781; status=stored.
Record TARGET-ORCHID: depot=cedar; parcel=742915; status=reserved.
Record R0014: depot=harbor-14; parcel=101918; status=stored.
Record R0015: depot=harbor-15; parcel=102055; status=stored.
Record R0016: depot=harbor-16; parcel=102192; status=stored.
Record R0017: depot=harbor-17; parcel=102329; status=stored.
Record R0018: depot=harbor-18; parcel=102466; status=stored.
Record R0019: depot=harbor-19; parcel=102603; status=stored.
Record R0020: depot=harbor-20; parcel=102740; status=stored.
Record R0021: depot=harbor-21; parcel=102877; status=stored.
Record R0022: depot=harbor-22; parcel=103014; status=stored.
Record R0023: depot=harbor-23; parcel=103151; status=stored.
Record R0024: depot=harbor-24; parcel=103288; status=stored.
Record R0025: depot=harbor-25; parcel=103425; status=stored.
Record R0026: depot=harbor-26; parcel=103562; status=stored.
Record R0027: depot=harbor-27; parcel=103699; status=stored.
Record R0028: depot=harbor-28; parcel=103836; status=stored.
Record R0029: depot=harbor-29; parcel=103973; status=stored.
Record R0030: depot=harbor-30; parcel=104110; status=stored.
Record R0031: depot=harbor-0; parcel=104247; status=stored.
Record R0032: depot=harbor-1; parcel=104384; status=stored.
Record R0033: depot=harbor-2; parcel=104521; status=stored.
Record R0034: depot=harbor-3; parcel=104658; status=stored.
Record R0035: depot=harbor-4; parcel=104795; status=stored.
Record R0036: depot=harbor-5; parcel=104932; status=stored.
Record R0037: depot=harbor-6; parcel=105069; status=stored.
Record R0038: depot=harbor-7; parcel=105206; status=stored.
Record R0039: depot=harbor-8; parcel=105343; status=stored.
Record R0040: depot=harbor-9; parcel=105480; status=stored.
Record R0041: depot=harbor-10; parcel=105617; status=stored.
Record R0042: depot=harbor-11; parcel=105754; status=stored.
Record R0043: depot=harbor-12; parcel=105891; status=stored.
Record R0044: depot=harbor-13; parcel=106028; status=stored.
Record R0045: depot=harbor-14; parcel=106165; status=stored.
Record R0046: depot=harbor-15; parcel=106302; status=stored.
Record R0047: depot=harbor-16; parcel=106439; status=stored.
Record R0048: depot=harbor-17; parcel=106576; status=stored.
Record R0049: depot=harbor-18; parcel=106713; status=stored.
Record R0050: depot=harbor-19; parcel=106850; status=stored.
Record R0051: depot=harbor-20; parcel=106987; status=stored.
Record R0052: depot=harbor-21; parcel=107124; status=stored.
Record R0053: depot=harbor-22; parcel=107261; status=stored.
Record R0054: depot=harbor-23; parcel=107398; status=stored.
Record R0055: depot=harbor-24; parcel=107535; status=stored.
Record R0056: depot=harbor-25; parcel=107672; status=stored.
Record R0057: depot=harbor-26; parcel=107809; status=stored.
Record R0058: depot=harbor-27; parcel=107946; status=stored.
Record R0059: depot=harbor-28; parcel=108083; status=stored.
Record R0060: depot=harbor-29; parcel=108220; status=stored.
Record R0061: depot=harbor-30; parcel=108357; status=stored.
Record R0062: depot=harbor-0; parcel=108494; status=stored.
Record R0063: depot=harbor-1; parcel=108631; status=stored.
Record R0064: depot=harbor-2; parcel=108768; status=stored.
Record R0065: depot=harbor-3; parcel=108905; status=stored.
Record R0066: depot=harbor-4; parcel=109042; status=stored.
Record R0067: depot=harbor-5; parcel=109179; status=stored.
Record R0068: depot=harbor-6; parcel=109316; status=stored.
Record R0069: depot=harbor-7; parcel=109453; status=stored.
Record R0070: depot=harbor-8; parcel=109590; status=stored.
Record R0071: depot=harbor-9; parcel=109727; status=stored.
Record R0072: depot=harbor-10; parcel=109864; status=stored.
Record R0073: depot=harbor-11; parcel=110001; status=stored.
Record R0074: depot=harbor-12; parcel=110138; status=stored.
Record R0075: depot=harbor-13; parcel=110275; status=stored.
Record R0076: depot=harbor-14; parcel=110412; status=stored.
Record R0077: depot=harbor-15; parcel=110549; status=stored.
Record R0078: depot=harbor-16; parcel=110686; status=stored.
Record R0079: depot=harbor-17; parcel=110823; status=stored.
Record R0080: depot=harbor-18; parcel=110960; status=stored.
Record R0081: depot=harbor-19; parcel=111097; status=stored.
Record R0082: depot=harbor-20; parcel=111234; status=stored.
Record R0083: depot=harbor-21; parcel=111371; status=stored.
Record R0084: depot=harbor-22; parcel=111508; status=stored.
Record R0085: depot=harbor-23; parcel=111645; status=stored.
Record R0086: depot=harbor-24; parcel=111782; status=stored.
Record R0087: depot=harbor-25; parcel=111919; status=stored.
Record R0088: depot=harbor-26; parcel=112056; status=stored.
Record R0089: depot=harbor-27; parcel=112193; status=stored.
Record R0090: depot=harbor-28; parcel=112330; status=stored.
Record R0091: depot=harbor-29; parcel=112467; status=stored.
Record R0092: depot=harbor-30; parcel=112604; status=stored.
Record R0093: depot=harbor-0; parcel=112741; status=stored.
Record R0094: depot=harbor-1; parcel=112878; status=stored.
Record R0095: depot=harbor-2; parcel=113015; status=stored.
Record R0096: depot=harbor-3; parcel=113152; status=stored.
Record R0097: depot=harbor-4; parcel=113289; status=stored.
Record R0098: depot=harbor-5; parcel=113426; status=stored.
Record R0099: depot=harbor-6; parcel=113563; status=stored.
Record R0100: depot=harbor-7; parcel=113700; status=stored.
Record R0101: depot=harbor-8; parcel=113837; status=stored.
Record R0102: depot=harbor-9; parcel=113974; status=stored.
Record R0103: depot=harbor-10; parcel=114111; status=stored.
Record R0104: depot=harbor-11; parcel=114248; status=stored.
Record R0105: depot=harbor-12; parcel=114385; status=stored.
Record R0106: depot=harbor-13; parcel=114522; status=stored.
Record R0107: depot=harbor-14; parcel=114659; status=stored.
Record R0108: depot=harbor-15; parcel=114796; status=stored.
Record R0109: depot=harbor-16; parcel=114933; status=stored.
Record R0110: depot=harbor-17; parcel=115070; status=stored.
Record R0111: depot=harbor-18; parcel=115207; status=stored.
Record R0112: depot=harbor-19; parcel=115344; status=stored.
Record R0113: depot=harbor-20; parcel=115481; status=stored.
Record R0114: depot=harbor-21; parcel=115618; status=stored.
Record R0115: depot=harbor-22; parcel=115755; status=stored.
Record R0116: depot=harbor-23; parcel=115892; status=stored.
Record R0117: depot=harbor-24; parcel=116029; status=stored.
Record R0118: depot=harbor-25; parcel=116166; status=stored.
Record R0119: depot=harbor-26; parcel=116303; status=stored.
Record R0120: depot=harbor-27; parcel=116440; status=stored.
Record R0121: depot=harbor-28; parcel=116577; status=stored.
Record R0122: depot=harbor-29; parcel=116714; status=stored.
Record R0123: depot=harbor-30; parcel=116851; status=stored.
Record R0124: depot=harbor-0; parcel=116988; status=stored.
Record R0125: depot=harbor-1; parcel=117125; status=stored.
Record R0126: depot=harbor-2; parcel=117262; status=stored.
Record R0127: depot=harbor-3; parcel=117399; status=stored.
Record R0128: depot=harbor-4; parcel=117536; status=stored.
Record R0129: depot=harbor-5; parcel=117673; status=stored.
Record R0130: depot=harbor-6; parcel=117810; status=stored.
Record R0131: depot=harbor-7; parcel=117947; status=stored.
Record R0132: depot=harbor-8; parcel=118084; status=stored.
Record R0133: depot=harbor-9; parcel=118221; status=stored.
Record R0134: depot=harbor-10; parcel=118358; status=stored.
Record R0135: depot=harbor-11; parcel=118495; status=stored.
Record R0136: depot=harbor-12; parcel=118632; status=stored.
Record R0137: depot=harbor-13; parcel=118769; status=stored.
Record R0138: depot=harbor-14; parcel=118906; status=stored.
Record R0139: depot=harbor-15; parcel=119043; status=stored.
Record R0140: depot=harbor-16; parcel=119180; status=stored.
Record R0141: depot=harbor-17; parcel=119317; status=stored.
Record R0142: depot=harbor-18; parcel=119454; status=stored.

What parcel number belongs to TARGET-ORCHID? Return only the six digits.<turn|>
<|turn>model
<|channel>thought
<channel|>
