#candidate	tile_m	tile_n	tile_k	scope	scope_simdgroups	input_mode	metal_compile	metallib_link
mpp_m16_n16_k16_sg1_coop	16	16	16	execution_simdgroup	1	cooperative	fail	not-run
mpp_m16_n16_k16_sg1_tensor	16	16	16	execution_simdgroup	1	tensor	pass	pass
mpp_m16_n16_k16_sg2_coop	16	16	16	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m16_n16_k16_sg2_tensor	16	16	16	execution_simdgroups_2	2	tensor	pass	pass
mpp_m16_n16_k16_sg4_coop	16	16	16	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m16_n16_k16_sg4_tensor	16	16	16	execution_simdgroups_4	4	tensor	pass	pass
mpp_m16_n16_k32_sg1_coop	16	16	32	execution_simdgroup	1	cooperative	pass	pass
mpp_m16_n16_k32_sg1_tensor	16	16	32	execution_simdgroup	1	tensor	pass	pass
mpp_m16_n16_k32_sg2_coop	16	16	32	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m16_n16_k32_sg2_tensor	16	16	32	execution_simdgroups_2	2	tensor	pass	pass
mpp_m16_n16_k32_sg4_coop	16	16	32	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m16_n16_k32_sg4_tensor	16	16	32	execution_simdgroups_4	4	tensor	pass	pass
mpp_m16_n32_k16_sg1_coop	16	32	16	execution_simdgroup	1	cooperative	pass	pass
mpp_m16_n32_k16_sg1_tensor	16	32	16	execution_simdgroup	1	tensor	pass	pass
mpp_m16_n32_k16_sg2_coop	16	32	16	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m16_n32_k16_sg2_tensor	16	32	16	execution_simdgroups_2	2	tensor	pass	pass
mpp_m16_n32_k16_sg4_coop	16	32	16	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m16_n32_k16_sg4_tensor	16	32	16	execution_simdgroups_4	4	tensor	pass	pass
mpp_m16_n32_k32_sg1_coop	16	32	32	execution_simdgroup	1	cooperative	pass	pass
mpp_m16_n32_k32_sg1_tensor	16	32	32	execution_simdgroup	1	tensor	pass	pass
mpp_m16_n32_k32_sg2_coop	16	32	32	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m16_n32_k32_sg2_tensor	16	32	32	execution_simdgroups_2	2	tensor	pass	pass
mpp_m16_n32_k32_sg4_coop	16	32	32	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m16_n32_k32_sg4_tensor	16	32	32	execution_simdgroups_4	4	tensor	pass	pass
mpp_m16_n64_k16_sg1_coop	16	64	16	execution_simdgroup	1	cooperative	fail	not-run
mpp_m16_n64_k16_sg1_tensor	16	64	16	execution_simdgroup	1	tensor	pass	pass
mpp_m16_n64_k16_sg2_coop	16	64	16	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m16_n64_k16_sg2_tensor	16	64	16	execution_simdgroups_2	2	tensor	pass	pass
mpp_m16_n64_k16_sg4_coop	16	64	16	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m16_n64_k16_sg4_tensor	16	64	16	execution_simdgroups_4	4	tensor	pass	pass
