run_id	ts_utc	host	git_sha	binary	powermode	ac	hypothesis	change	prompt_tokens	B	metric	value	unit	vs_baseline	keep	notes
canary-512	2026-08-24T05:22:20Z	m3-max-128gb-2	0.8.10-installed	0.8.10	2	yes	H0-load	none	512	1	prefill_tps	1217	tok/s	n/a	meta	ttft_ms=420.1 stripe_cfg=2048 contiguous
canary-512	2026-08-24T05:22:20Z	m3-max-128gb-2	0.8.10-installed	0.8.10	2	yes	H0-load	none	512	1	ttft	420.128	ms	n/a	meta	first measured cell this Mac
b1-512	2026-08-24T05:23:22Z	m3-max-128gb-2	0.8.10-installed	0.8.10	2	yes	H0-baseline	none	512	1	prefill_tps	1435	tok/s	1.00	baseline	median of 3; 0.697 ms/t
b1-2048	2026-08-24T05:23:22Z	m3-max-128gb-2	0.8.10-installed	0.8.10	2	yes	H0-baseline	none	2048	1	prefill_tps	1669	tok/s	1.00	baseline	median of 3; 0.599 ms/t
b1-8192	2026-08-24T05:23:22Z	m3-max-128gb-2	0.8.10-installed	0.8.10	2	yes	H0-baseline	none	8192	1	prefill_tps	1555	tok/s	1.00	baseline	median of 3; 0.643 ms/t
b4-2048-i1	2026-08-24T05:24:00Z	m3-max-128gb-2	0.8.10-installed	0.8.10	2	yes	H0-burst	none	2048	4	prefill_tps_from_makespan	1663	tok/s	1.00	pending	makespan 4926ms; discarded first harness; see official rows
b4-2048-burst	2026-08-24T05:28:00Z	m3-max-128gb-2	0.8.10-installed	0.8.10	2	yes	H0-burst	none	2048	4	prefill_tps	1661	tok/s	0.995	baseline	median 2 burst iters; TTFT 4827/5044; JSON artifacts/baseline-arrival-2048.json
b4-2048-burst	2026-08-24T05:28:00Z	m3-max-128gb-2	0.8.10-installed	0.8.10	2	yes	H0-burst	none	2048	4	ttft_median	4936	ms	4.03x_vs_b1	baseline	all 4 rows equal TTFT
e1-tile-t4096	2026-08-24T05:40:30Z	m3-max-128gb-2	allowlist-e1	mlx-swift-tests	2	yes	E1-tile-vs-legacy	allowlist-32768	4096	1	qmm_ms	12.516	ms	1.06x_vs_legacy	keep-gate	hits=25; 1.3x kernel bar missed
e1-legacy-t4096	2026-08-24T05:40:36Z	m3-max-128gb-2	allowlist-e1	mlx-swift-tests	2	yes	E1-tile-vs-legacy	legacy	4096	1	qmm_ms	13.241	ms	1.00	meta	gate_up_fused
e1-tile-t8192	2026-08-24T05:40:30Z	m3-max-128gb-2	allowlist-e1	mlx-swift-tests	2	yes	E1-tile-vs-legacy	allowlist-65536	8192	1	qmm_ms	24.486	ms	1.07x_vs_legacy	keep-gate	hits=25; 1.3x kernel bar missed
e1-legacy-t8192	2026-08-24T05:40:36Z	m3-max-128gb-2	allowlist-e1	mlx-swift-tests	2	yes	E1-tile-vs-legacy	legacy	8192	1	qmm_ms	26.117	ms	1.00	meta	gate_up_fused
e1-tile-t512	2026-08-24T05:40:30Z	m3-max-128gb-2	allowlist-e1	mlx-swift-tests	2	yes	E1-tile-vs-legacy	allowlist	512	1	qmm_ms	2.328	ms	0.85x_vs_legacy	meta	tile slower at small M
e1-correctness	2026-08-24T05:40:25Z	m3-max-128gb-2	allowlist-e1	mlx-swift-tests	2	yes	E1-numerics	allowlist	65536	1	sorted_gather	1	pass	pass	keep-gate	SortedGatherQuantizedMMTests including new M
e1-tflops-t2048	2026-08-24T05:40:30Z	m3-max-128gb-2	allowlist-e1	mlx-swift-tests	2	yes	E1-tflops	tile-qmm	2048	1	tflops	10.5	TFLOPS	n/a	meta	2*M*N*K / tile_ms; confirms 011 ALU roof
e1-tflops-t4096	2026-08-24T05:40:30Z	m3-max-128gb-2	allowlist-e1	mlx-swift-tests	2	yes	E1-tflops	tile-qmm	4096	1	tflops	11.0	TFLOPS	n/a	meta	linear in M
e1-tflops-t8192	2026-08-24T05:40:30Z	m3-max-128gb-2	allowlist-e1	mlx-swift-tests	2	yes	E1-tflops	tile-qmm	8192	1	tflops	11.2	TFLOPS	n/a	meta	not 24 TFLOPS; 2.5x packing illegal



